#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)     dX(")       dX_er(")    dY(")       dY_er(")
   1907.10    0.005798    0.022992    0.059066    0.025108  -0.0000280   0.0000000   -0.090592    0.000000   -0.022379    0.000000
   1907.15    0.011248    0.017752    0.085929    0.018128  -0.0001124   0.0000000   -0.090859    0.000000   -0.021558    0.000000
   1907.20    0.025863    0.019143    0.045508    0.018842   0.0001474   0.0000000   -0.091122    0.000000   -0.020447    0.000000
   1907.25    0.010170    0.017944    0.033979    0.018049  -0.0000703   0.0000000   -0.091486    0.000000   -0.019789    0.000000
   1907.30    0.037484    0.017415   -0.010237    0.018280  -0.0002022   0.0000000   -0.091664    0.000000   -0.019143    0.000000
   1907.35   -0.004553    0.016074   -0.015753    0.017202   0.0002072   0.0000000   -0.091549    0.000000   -0.018988    0.000000
   1907.40   -0.018281    0.016878   -0.015151    0.016662  -0.0000732   0.0000000   -0.091109    0.000000   -0.018999    0.000000
   1907.45   -0.007121    0.015865   -0.040982    0.017098  -0.0002118   0.0000000   -0.090398    0.000000   -0.019316    0.000000
   1907.50   -0.041861    0.014405   -0.054257    0.013670   0.0002849   0.0000000   -0.089273    0.000000   -0.019480    0.000000
   1907.55   -0.039579    0.013422   -0.066699    0.013739  -0.0000684   0.0000000   -0.087943    0.000000   -0.019432    0.000000
   1907.60   -0.062715    0.013805   -0.045593    0.013720  -0.0000428   0.0000000   -0.087114    0.000000   -0.019362    0.000000
   1907.65   -0.084795    0.012080   -0.037988    0.012719   0.0002455   0.0000000   -0.086469    0.000000   -0.019655    0.000000
   1907.70   -0.117699    0.012937   -0.015017    0.013833  -0.0000961   0.0000000   -0.086487    0.000000   -0.019789    0.000000
   1907.75   -0.156779    0.015290    0.021299    0.013671   0.0000022   0.0000000   -0.086904    0.000000   -0.020515    0.000000
   1907.80   -0.189031    0.018049    0.063241    0.014971   0.0000757   0.0000000   -0.087564    0.000000   -0.021192    0.000000
   1907.85   -0.160459    0.019451    0.122381    0.020621   0.0000030   0.0000000   -0.088267    0.000000   -0.022251    0.000000
   1907.90   -0.174344    0.021257    0.161447    0.016963  -0.0002249   0.0000000   -0.088822    0.000000   -0.023025    0.000000
   1907.95   -0.175610    0.024546    0.206615    0.023993   0.0002204   0.0000000   -0.089135    0.000000   -0.023635    0.000000
   1908.00   -0.097329    0.020960    0.248632    0.019235  -0.0001996   0.0000000   -0.089362    0.000000   -0.023831    0.000000
   1908.05   -0.103299    0.023340    0.239488    0.021691  -0.0000979   0.0000000   -0.089595    0.000000   -0.023785    0.000000
   1908.10   -0.059128    0.021132    0.273732    0.020816   0.0002503   0.0000000   -0.089724    0.000000   -0.023298    0.000000
   1908.15    0.009706    0.021140    0.247658    0.016431  -0.0001747   0.0000000   -0.089896    0.000000   -0.022374    0.000000
   1908.20    0.090334    0.026750    0.235718    0.018504   0.0001647   0.0000000   -0.090285    0.000000   -0.021387    0.000000
   1908.25    0.080818    0.018228    0.218240    0.021373   0.0000970   0.0000000   -0.090601    0.000000   -0.020681    0.000000
   1908.30    0.155808    0.018798    0.162100    0.016711  -0.0000834   0.0000000   -0.090849    0.000000   -0.020151    0.000000
   1908.35    0.153061    0.016735    0.112529    0.018828  -0.0000521   0.0000000   -0.090777    0.000000   -0.019930    0.000000
   1908.40    0.173988    0.016322    0.039727    0.016375   0.0001218   0.0000000   -0.090373    0.000000   -0.019945    0.000000
   1908.45    0.193469    0.015332    0.020785    0.015660  -0.0000789   0.0000000   -0.089537    0.000000   -0.020145    0.000000
   1908.50    0.183426    0.014042   -0.054432    0.015260  -0.0000419   0.0000000   -0.088394    0.000000   -0.020209    0.000000
   1908.55    0.151225    0.015402   -0.109345    0.015738   0.0002433   0.0000000   -0.087304    0.000000   -0.020166    0.000000
   1908.60    0.107906    0.014255   -0.142538    0.017724  -0.0001881   0.0000000   -0.086378    0.000000   -0.020131    0.000000
   1908.65    0.055412    0.013924   -0.182189    0.015619   0.0000505   0.0000000   -0.086026    0.000000   -0.020301    0.000000
   1908.70   -0.006805    0.014573   -0.171765    0.013944   0.0001526   0.0000000   -0.085903    0.000000   -0.020802    0.000000
   1908.75   -0.062119    0.013913   -0.178748    0.014408  -0.0001424   0.0000000   -0.086422    0.000000   -0.021294    0.000000
   1908.80   -0.121191    0.013587   -0.143231    0.015109   0.0001181   0.0000000   -0.087060    0.000000   -0.022108    0.000000
   1908.85   -0.198850    0.020555   -0.118766    0.017931   0.0001065   0.0000000   -0.087802    0.000000   -0.023153    0.000000
   1908.90   -0.257295    0.018706   -0.059737    0.017970  -0.0000472   0.0000000   -0.088432    0.000000   -0.023897    0.000000
   1908.95   -0.280177    0.025859   -0.002836    0.018204   0.0000278   0.0000000   -0.088874    0.000000   -0.024502    0.000000
   1909.00   -0.308567    0.026385    0.086965    0.022225   0.0001664   0.0000000   -0.089130    0.000000   -0.024708    0.000000
   1909.05   -0.341669    0.019593    0.134833    0.020702  -0.0002102   0.0000000   -0.089294    0.000000   -0.024555    0.000000
   1909.10   -0.251318    0.031091    0.177486    0.021247   0.0000180   0.0000000   -0.089417    0.000000   -0.024099    0.000000
   1909.15   -0.246499    0.026740    0.259105    0.023849   0.0001753   0.0000000   -0.089598    0.000000   -0.023113    0.000000
   1909.20   -0.210328    0.025755    0.316707    0.021168  -0.0002617   0.0000000   -0.089973    0.000000   -0.022138    0.000000
   1909.25   -0.111980    0.020248    0.334597    0.014936   0.0000203   0.0000000   -0.090321    0.000000   -0.021432    0.000000
   1909.30   -0.048977    0.016901    0.365468    0.016352  -0.0001056   0.0000000   -0.090600    0.000000   -0.020850    0.000000
   1909.35    0.031745    0.016585    0.354444    0.015840  -0.0000912   0.0000000   -0.090477    0.000000   -0.020649    0.000000
   1909.40    0.150528    0.017707    0.322970    0.018761   0.0001133   0.0000000   -0.089977    0.000000   -0.020546    0.000000
   1909.45    0.204069    0.015509    0.289706    0.016421  -0.0000088   0.0000000   -0.089153    0.000000   -0.020826    0.000000
   1909.50    0.260641    0.016203    0.206504    0.015492  -0.0000161   0.0000000   -0.087860    0.000000   -0.020868    0.000000
   1909.55    0.287886    0.013786    0.107894    0.015218   0.0000117   0.0000000   -0.086788    0.000000   -0.020785    0.000000
   1909.60    0.317580    0.014356    0.078549    0.016304   0.0001558   0.0000000   -0.085895    0.000000   -0.020756    0.000000
   1909.65    0.297741    0.016009   -0.000218    0.016584  -0.0002097   0.0000000   -0.085557    0.000000   -0.021026    0.000000
   1909.70    0.230460    0.020033   -0.081274    0.016224   0.0000322   0.0000000   -0.085555    0.000000   -0.021378    0.000000
   1909.75    0.189399    0.017801   -0.138530    0.014603   0.0001526   0.0000000   -0.085931    0.000000   -0.021775    0.000000
   1909.80    0.086831    0.016825   -0.192009    0.016194  -0.0002170   0.0000000   -0.086643    0.000000   -0.022598    0.000000
   1909.85    0.011904    0.025053   -0.230786    0.018872   0.0002217   0.0000000   -0.087429    0.000000   -0.023446    0.000000
   1909.90   -0.099777    0.019588   -0.198978    0.015520   0.0000904   0.0000000   -0.088048    0.000000   -0.024377    0.000000
   1909.95   -0.183718    0.019608   -0.173299    0.021469  -0.0000836   0.0000000   -0.088557    0.000000   -0.024984    0.000000
   1910.00   -0.230079    0.017879   -0.132306    0.023836   0.0001299   0.0000000   -0.088758    0.000000   -0.025204    0.000000
